Rank,Country,ISO3,Population_M,Pop_15_24_M,Pop_15_29_Est_M,Youth_Pct_15_24,Youth_Unemployment_Pct,Youth_Unbanked_Pct,Mobile_Per_100,Internet_Users_Pct,GDP_Per_Capita_USD,GenZ_GX_Total_B,GenZ_USD_Total_B,Grant_Impact_Multiple,Need_Score,Readiness_Score,GenZ_Impact_Index,Tier
1,Libya,LBY,7.4,1.28,1.92,17.4,50.6,80.6,193.0,82.1,6569,0.404,48.50,3.8,43.0,31.5,74.5,Tier 1: Prime Target
2,Palestine,PSE,5.3,1.01,1.52,19.2,,76.6,76.7,86.6,2592,0.319,38.29,9.7,42.2,23.2,65.4,Tier 2: Strong Opportunity
3,Iraq,IRQ,46.0,9.04,13.55,19.6,31.7,70.1,101.4,81.8,6074,2.846,341.57,4.1,38.0,26.4,64.4,Tier 2: Strong Opportunity
4,Morocco,MAR,38.1,6.12,9.18,16.1,22.4,69.8,148.2,91.0,4153,1.928,231.39,6.1,33.3,31.0,64.2,Tier 2: Strong Opportunity
5,Djibouti,DJI,1.2,0.23,0.34,19.6,76.5,,48.5,64.8,3553,0.072,8.68,7.1,47.3,16.4,63.6,Tier 2: Strong Opportunity
6,Eswatini,SWZ,1.2,0.25,0.37,20.0,54.4,55.9,128.4,61.3,3910,0.078,9.41,6.4,41.5,21.9,63.5,Tier 2: Strong Opportunity
7,Jordan,JOR,11.6,2.13,3.20,18.5,39.1,70.8,67.5,92.5,4618,0.672,80.59,5.5,39.3,24.1,63.5,Tier 2: Strong Opportunity
8,Timor-Leste,TLS,1.4,0.30,0.46,21.7,,,112.7,,1332,0.096,11.50,18.9,44.5,18.8,63.3,Tier 2: Strong Opportunity
9,Tunisia,TUN,12.3,1.68,2.52,13.7,,88.3,132.7,,4181,0.530,63.62,6.0,39.5,23.8,63.3,Tier 2: Strong Opportunity
10,Botswana,BWA,2.5,0.49,0.74,19.5,45.3,47.7,179.0,57.9,7696,0.155,18.57,3.3,36.4,25.9,62.3,Tier 2: Strong Opportunity
11,Algeria,DZA,46.8,6.56,9.84,14.0,29.9,81.5,111.6,76.2,5753,2.066,247.96,4.4,35.6,26.1,61.7,Tier 2: Strong Opportunity
12,Uzbekistan,UZB,36.4,5.26,7.88,14.5,,64.6,106.9,89.0,3162,1.655,198.64,8.0,34.2,27.4,61.6,Tier 2: Strong Opportunity
13,Lebanon,LBN,5.8,1.00,1.50,17.2,22.7,94.0,74.0,81.7,3478,0.315,37.74,7.2,39.2,22.3,61.4,Tier 2: Strong Opportunity
14,Philippines,PHL,115.8,22.04,33.06,19.0,,44.9,117.3,77.9,3985,6.943,833.16,6.3,33.3,27.9,61.2,Tier 2: Strong Opportunity
15,Sudan,SDN,50.4,10.24,15.36,20.3,,,70.2,,985,3.226,387.14,25.6,42.1,19.1,61.2,Tier 2: Strong Opportunity
16,Suriname,SUR,0.6,0.11,0.16,17.3,,,157.2,87.4,6962,0.035,4.14,3.6,33.8,27.2,61.0,Tier 2: Strong Opportunity
17,"Yemen, Rep.",YEM,40.6,7.84,11.76,19.3,,95.0,50.9,,,2.470,296.44,,44.6,16.4,61.0,Tier 2: Strong Opportunity
18,Rwanda,RWA,14.3,2.95,4.43,20.7,,,91.5,28.8,1000,0.930,111.58,25.2,42.8,16.7,59.5,Tier 2: Strong Opportunity
19,Syrian Arab Republic,SYR,24.7,5.80,8.70,23.5,,,72.4,,,1.826,219.17,,40.5,18.5,59.0,Tier 2: Strong Opportunity
20,Montenegro,MNE,0.6,0.08,0.12,12.4,24.0,66.9,207.2,88.5,13263,0.024,2.92,1.9,28.5,30.3,58.7,Tier 2: Strong Opportunity
21,Zimbabwe,ZWE,16.6,3.50,5.24,21.0,,61.8,91.6,38.7,2497,1.101,132.13,10.1,40.2,18.3,58.5,Tier 2: Strong Opportunity
22,"Egypt, Arab Rep.",EGY,116.5,20.50,30.76,17.6,17.3,67.5,92.8,74.0,3338,6.459,775.07,7.5,32.8,25.4,58.3,Tier 2: Strong Opportunity
23,Paraguay,PRY,6.9,1.17,1.75,16.8,,52.7,126.6,78.1,6416,0.367,44.07,3.9,32.5,25.8,58.3,Tier 2: Strong Opportunity
24,South Africa,ZAF,64.0,10.46,15.69,16.3,,33.4,171.5,78.3,6267,3.296,395.47,4.0,26.9,31.3,58.2,Tier 2: Strong Opportunity
25,Tajikistan,TJK,10.6,1.81,2.71,17.1,,70.2,76.2,54.4,1341,0.569,68.31,18.8,38.8,18.9,57.7,Tier 2: Strong Opportunity
26,Peru,PER,34.2,5.69,8.53,16.6,,47.0,122.0,79.5,8452,1.792,214.99,3.0,30.2,27.2,57.4,Tier 2: Strong Opportunity
27,Sao Tome and Principe,STP,0.2,0.05,0.07,21.1,,,63.5,58.7,3491,0.016,1.88,7.2,42.3,15.1,57.4,Tier 2: Strong Opportunity
28,Senegal,SEN,18.5,3.84,5.76,20.8,,36.7,123.9,59.2,1773,1.210,145.17,14.2,33.4,23.9,57.3,Tier 2: Strong Opportunity
29,Sierra Leone,SLE,8.6,1.78,2.68,20.6,,63.5,107.9,23.7,807,0.562,67.43,31.2,40.7,16.7,57.3,Tier 2: Strong Opportunity
30,El Salvador,SLV,6.3,1.16,1.74,18.3,7.5,63.2,179.7,62.6,5580,0.366,43.88,4.5,29.6,27.5,57.1,Tier 2: Strong Opportunity
31,Mauritania,MRT,5.2,1.02,1.53,19.8,23.0,79.1,90.8,45.0,2110,0.322,38.65,11.9,38.5,18.0,56.5,Tier 2: Strong Opportunity
32,Nepal,NPL,29.7,5.84,8.76,19.7,20.6,60.9,117.8,45.8,1447,1.839,220.68,17.4,34.3,21.9,56.2,Tier 2: Strong Opportunity
33,Haiti,HTI,11.8,2.26,3.39,19.2,36.8,,65.2,48.0,2143,0.712,85.45,11.8,38.5,17.3,55.8,Tier 2: Strong Opportunity
34,Colombia,COL,52.9,8.33,12.50,15.8,19.4,37.8,167.0,77.3,7919,2.624,314.88,3.2,25.1,30.6,55.7,Tier 2: Strong Opportunity
35,"Somalia, Fed. Rep.",SOM,19.0,3.79,5.68,19.9,,,54.0,26.1,630,1.192,143.09,40.0,41.5,13.7,55.2,Tier 2: Strong Opportunity
36,Tanzania,TZA,68.6,13.85,20.77,20.2,,46.9,105.4,28.4,1187,4.362,523.45,21.2,35.7,19.2,54.9,Tier 3: Moderate Opportunity
37,Tonga,TON,0.1,0.02,0.03,20.2,,,61.7,64.1,5652,0.007,0.80,4.5,39.7,15.0,54.6,Tier 3: Moderate Opportunity
38,Azerbaijan,AZE,10.2,1.39,2.08,13.6,13.5,68.3,107.7,89.0,7284,0.436,52.36,3.5,28.3,26.2,54.5,Tier 3: Moderate Opportunity
39,Nicaragua,NIC,6.9,1.27,1.91,18.4,9.6,71.7,105.8,60.3,2848,0.400,48.05,8.8,32.4,21.7,54.1,Tier 3: Moderate Opportunity
40,Pakistan,PAK,251.3,49.94,74.91,19.9,9.5,75.7,76.5,36.5,1479,15.730,1887.62,17.0,34.6,19.4,54.1,Tier 3: Moderate Opportunity
41,Cabo Verde,CPV,0.5,0.09,0.14,17.2,28.1,,113.0,74.6,5192,0.028,3.41,4.9,32.1,21.8,53.9,Tier 3: Moderate Opportunity
42,Kiribati,KIR,0.1,0.02,0.03,17.3,,,51.2,88.0,2289,0.007,0.88,11.0,36.1,17.9,53.9,Tier 3: Moderate Opportunity
43,Bangladesh,BGD,173.6,33.16,49.75,19.1,9.1,61.3,111.3,44.5,2593,10.446,1253.57,9.7,30.8,22.8,53.7,Tier 3: Moderate Opportunity
44,"Congo, Rep.",COG,6.3,1.21,1.82,19.2,40.6,44.6,94.9,43.1,2482,0.382,45.88,10.2,35.4,18.2,53.7,Tier 3: Moderate Opportunity
45,Gabon,GAB,2.5,0.44,0.66,17.4,36.3,38.0,122.6,68.2,8230,0.139,16.73,3.1,30.6,23.1,53.7,Tier 3: Moderate Opportunity
