ISO3,Country,Pop_0_14_Pct,Year
AFG,Afghanistan,42.8875,2024
ALB,Albania,16.8408,2024
DZA,Algeria,30.329,2024
ASM,American Samoa,27.0084,2024
AND,Andorra,11.8853,2024
AGO,Angola,44.351,2024
ATG,Antigua and Barbuda,17.7997,2024
ARG,Argentina,21.6039,2024
ARM,Armenia,19.2371,2024
ABW,Aruba,16.8449,2024
AUS,Australia,17.8418,2024
AUT,Austria,14.228,2024
AZE,Azerbaijan,21.8116,2024
BHS,"Bahamas, The",17.9128,2024
BHR,Bahrain,18.7168,2024
BGD,Bangladesh,27.9889,2024
BRB,Barbados,17.2413,2024
BLR,Belarus,16.2972,2024
BEL,Belgium,15.9961,2024
BLZ,Belize,26.5784,2024
BEN,Benin,41.5525,2024
BMU,Bermuda,13.6069,2024
BTN,Bhutan,20.9094,2024
BOL,Bolivia,29.7866,2024
BIH,Bosnia and Herzegovina,13.0378,2024
BWA,Botswana,32.1296,2024
BRA,Brazil,19.6651,2024
VGB,British Virgin Islands,14.4917,2024
BRN,Brunei Darussalam,20.8253,2024
BGR,Bulgaria,14.4745,2024
BFA,Burkina Faso,41.802,2024
BDI,Burundi,44.6989,2024
CPV,Cabo Verde,25.5473,2024
KHM,Cambodia,29.7931,2024
CMR,Cameroon,41.4422,2024
CAN,Canada,15.1113,2024
CYM,Cayman Islands,16.1878,2024
CAF,Central African Republic,49.0034,2024
TCD,Chad,46.0646,2024
CHI,Channel Islands,14.204,2024
CHL,Chile,16.9662,2024
CHN,China,16.0078,2024
COL,Colombia,20.2721,2024
COM,Comoros,37.1214,2024
COD,"Congo, Dem. Rep.",46.033,2024
COG,"Congo, Rep.",40.4458,2024
CRI,Costa Rica,18.7993,2024
CIV,Cote d'Ivoire,40.8714,2024
HRV,Croatia,13.9232,2024
CUB,Cuba,15.2939,2024
CUW,Curacao,14.9279,2024
CYP,Cyprus,16.0722,2024
CZE,Czechia,15.3973,2024
DNK,Denmark,15.6964,2024
DJI,Djibouti,29.1701,2024
DMA,Dominica,17.8733,2024
DOM,Dominican Republic,26.5787,2024
ECU,Ecuador,24.4558,2024
EGY,"Egypt, Arab Rep.",31.9947,2024
SLV,El Salvador,24.8061,2024
GNQ,Equatorial Guinea,37.2855,2024
ERI,Eritrea,38.137,2024
EST,Estonia,15.6376,2024
SWZ,Eswatini,33.3523,2024
ETH,Ethiopia,39.0599,2024
FRO,Faroe Islands,19.9659,2024
FJI,Fiji,27.0933,2024
FIN,Finland,14.6332,2024
FRA,France,16.5051,2024
PYF,French Polynesia,19.1014,2024
GAB,Gabon,36.4845,2024
GMB,"Gambia, The",40.248,2024
GEO,Georgia,20.7988,2024
DEU,Germany,13.9102,2024
GHA,Ghana,35.8181,2024
GIB,Gibraltar,17.6473,2024
GRC,Greece,13.2194,2024
GRL,Greenland,20.8034,2024
GRD,Grenada,19.4412,2024
GUM,Guam,25.983,2024
GTM,Guatemala,31.5771,2024
GIN,Guinea,40.9012,2024
GNB,Guinea-Bissau,38.7859,2024
GUY,Guyana,29.1606,2024
HTI,Haiti,31.1886,2024
XD,High income,15.6762,2024
HND,Honduras,30.6212,2024
HKG,"Hong Kong SAR, China",10.5078,2024
HUN,Hungary,14.4014,2024
ISL,Iceland,17.7634,2024
IND,India,24.6239,2024
IDN,Indonesia,24.5978,2024
IRN,"Iran, Islamic Rep.",22.4406,2024
IRQ,Iraq,36.5813,2024
IRL,Ireland,18.5555,2024
IMN,Isle of Man,14.2234,2024
ISR,Israel,27.4093,2024
ITA,Italy,11.8923,2024
JAM,Jamaica,18.7024,2024
JPN,Japan,11.4361,2024
JOR,Jordan,30.6684,2024
