ISO3,Country,Youth_Unemployment_Pct,Year
AFG,Afghanistan,17.235,2024
ALB,Albania,25.582,2024
DZA,Algeria,29.884,2024
AGO,Angola,26.74,2024
ARG,Argentina,19.228,2024
ARM,Armenia,26.659,2024
AUS,Australia,9.408,2024
AUT,Austria,10.428,2024
AZE,Azerbaijan,13.544,2024
BHS,"Bahamas, The",18.291,2024
BHR,Bahrain,5.469,2024
BGD,Bangladesh,9.097,2024
BRB,Barbados,18.049,2024
BLR,Belarus,10.538,2024
BEL,Belgium,17.343,2024
BLZ,Belize,18.553,2024
BEN,Benin,3.089,2024
BTN,Bhutan,17.934,2024
BOL,Bolivia,5.17,2024
BIH,Bosnia and Herzegovina,27.334,2024
BWA,Botswana,45.296,2024
BRA,Brazil,15.674,2024
BRN,Brunei Darussalam,17.872,2024
BGR,Bulgaria,12.493,2024
BFA,Burkina Faso,6.525,2024
BDI,Burundi,1.695,2024
CPV,Cabo Verde,28.1,2024
KHM,Cambodia,0.704,2024
CMR,Cameroon,6.618,2024
CAN,Canada,13.276,2024
CAF,Central African Republic,9.991,2024
TCD,Chad,1.452,2024
CHI,Channel Islands,13.699,2024
CHL,Chile,20.988,2024
CHN,China,15.044,2024
COL,Colombia,19.411,2024
COM,Comoros,8.814,2024
COD,"Congo, Dem. Rep.",7.951,2024
COG,"Congo, Rep.",40.581,2024
CRI,Costa Rica,20.481,2024
CIV,Cote d'Ivoire,4.249,2024
HRV,Croatia,16.479,2024
CUB,Cuba,4.283,2024
CYP,Cyprus,12.857,2024
CZE,Czechia,9.2,2024
DNK,Denmark,11.786,2024
DJI,Djibouti,76.494,2024
DOM,Dominican Republic,12.872,2024
ECU,Ecuador,8.574,2024
EGY,"Egypt, Arab Rep.",17.291,2024
SLV,El Salvador,7.507,2024
GNQ,Equatorial Guinea,15.556,2024
ERI,Eritrea,10.056,2024
EST,Estonia,19.256,2024
SWZ,Eswatini,54.37,2024
ETH,Ethiopia,5.449,2024
FJI,Fiji,15.133,2024
FIN,Finland,18.68,2024
FRA,France,18.603,2024
PYF,French Polynesia,36.459,2024
GAB,Gabon,36.283,2024
GMB,"Gambia, The",10.83,2024
GEO,Georgia,29.863,2024
DEU,Germany,6.604,2024
GHA,Ghana,5.347,2024
GRC,Greece,22.375,2024
GUM,Guam,12.876,2024
GTM,Guatemala,4.624,2024
GIN,Guinea,7.068,2024
GNB,Guinea-Bissau,2.826,2024
GUY,Guyana,24.742,2024
HTI,Haiti,36.758,2024
XD,High income,11.498,2024
HND,Honduras,8.301,2024
HKG,"Hong Kong SAR, China",9.507,2024
HUN,Hungary,15.088,2024
ISL,Iceland,8.78,2024
IND,India,15.746,2024
IDN,Indonesia,13.075,2024
IRN,"Iran, Islamic Rep.",21.307,2024
IRQ,Iraq,31.726,2024
IRL,Ireland,10.439,2024
ISR,Israel,6.163,2024
ITA,Italy,20.246,2024
JAM,Jamaica,10.383,2024
JPN,Japan,3.93,2024
JOR,Jordan,39.053,2024
KAZ,Kazakhstan,3.816,2024
KEN,Kenya,15.477,2024
PRK,"Korea, Dem. People's Rep.",7.764,2024
KOR,"Korea, Rep.",6.434,2024
KWT,Kuwait,15.145,2024
KGZ,Kyrgyz Republic,8.42,2024
LAO,Lao PDR,2.178,2024
LVA,Latvia,13.614,2024
LBN,Lebanon,22.744,2023
LSO,Lesotho,24.743,2024
LBR,Liberia,2.218,2024
LBY,Libya,50.586,2024
LTU,Lithuania,13.688,2024
XM,Low income,11.2485,2024
XN,Lower middle income,12.7449,2024
LUX,Luxembourg,21.689,2024
MAC,"Macao SAR, China",6.692,2024
MDG,Madagascar,5.46,2024
MWI,Malawi,6.889,2024
MYS,Malaysia,12.25,2024
MDV,Maldives,14.809,2024
MLI,Mali,3.841,2024
MLT,Malta,9.119,2024
MRT,Mauritania,23.038,2024
MUS,Mauritius,16.499,2024
MEX,Mexico,5.76,2024
MDA,Moldova,4.496,2024
MNG,Mongolia,11.542,2024
MNE,Montenegro,23.952,2024
MAR,Morocco,22.372,2024
MOZ,Mozambique,11.498,2024
MMR,Myanmar,9.967,2024
NAM,Namibia,37.24,2024
NPL,Nepal,20.638,2024
NLD,Netherlands,8.778,2024
NCL,New Caledonia,31.829,2024
NZL,New Zealand,14.039,2024
NIC,Nicaragua,9.581,2024
NER,Niger,0.391,2024
NGA,Nigeria,5.088,2024
MKD,North Macedonia,28.656,2024
NOR,Norway,12.131,2024
OMN,Oman,13.524,2024
PAK,Pakistan,9.521,2024
XT,Upper middle income,16.1837,2024
