ISO3,Country,Population_M,Eligible_M,GDP_Per_Capita_USD,Account_Ownership_Pct,Account_Year,Unbanked_Pct,Mobile_Per_100,Internet_Users_Pct,Remittance_Pct_GDP,Inflation_Pct,Ext_Debt_Pct_GNI,Treasury_GX_B,Treasury_USD_B,Individual_GX_B,Individual_USD_B,Grant_Impact_Multiple,Need_Score,Readiness_Score,GX_Impact_Index,Tier
AFG,Afghanistan,42.6,25.59,413.76,9.65,2021,90.35,55.55,15.93,,-6.60,23.34,1.535,184.24,3.480,417.60,39.44,30.8,15.6,46.4,Tier 3: Moderate Impact
ALB,Albania,2.4,1.43,11377.78,46.07,2024,53.93,93.00,83.14,8.67,2.22,55.76,0.086,10.27,0.194,23.28,1.43,21.9,23.6,45.5,Tier 3: Moderate Impact
DZA,Algeria,46.8,28.09,5752.99,35.29,2024,64.71,111.61,76.20,0.75,4.05,3.23,1.685,202.24,3.820,458.41,2.84,19.5,26.7,46.2,Tier 3: Moderate Impact
ASM,American Samoa,0.0,0.03,,,,,,,,,,0.002,0.20,0.004,0.46,,,,,
AND,Andorra,0.1,0.05,49303.65,,,,156.10,94.21,1.28,,,0.003,0.35,0.007,0.80,0.33,1.6,24.2,25.8,Tier 5: Adoption-Led
AGO,Angola,37.9,22.73,2665.87,,,,70.05,37.89,0.01,28.24,62.71,1.364,163.67,3.091,370.98,6.12,21.7,19.0,40.7,Tier 4: Strategic Impact
ATG,Antigua and Barbuda,0.1,0.06,23542.45,,,,200.54,72.12,1.74,6.20,,0.003,0.41,0.008,0.92,0.69,11.5,28.4,39.9,Tier 4: Strategic Impact
ARG,Argentina,45.7,27.42,13969.78,81.74,2024,18.26,137.71,89.23,0.16,219.88,40.08,1.645,197.41,3.729,447.46,1.17,25.0,29.5,54.5,Tier 3: Moderate Impact
ARM,Armenia,3.0,1.82,8556.21,71.37,2024,28.63,134.52,80.00,6.40,0.27,83.88,0.109,13.10,0.248,29.70,1.91,19.0,27.3,46.3,Tier 3: Moderate Impact
ABW,Aruba,0.1,0.06,39498.59,,,,130.65,,1.02,,,0.004,0.47,0.009,1.06,0.41,6.7,17.4,24.1,Tier 5: Adoption-Led
AUS,Australia,27.2,16.32,64603.99,98.01,2024,1.99,112.51,96.12,0.09,3.17,,0.979,117.49,2.219,266.31,0.25,0.9,23.7,24.6,Tier 5: Adoption-Led
AUT,Austria,9.2,5.51,58268.88,99.51,2024,0.49,121.75,95.33,0.63,2.94,,0.330,39.65,0.749,89.87,0.28,0.8,23.8,24.6,Tier 5: Adoption-Led
AZE,Azerbaijan,10.2,6.12,7283.85,56.30,2024,43.70,107.69,89.00,2.64,2.21,21.02,0.367,44.08,0.833,99.91,2.24,17.3,26.8,44.2,Tier 4: Strategic Impact
BHS,"Bahamas, The",0.4,0.24,39455.45,,,,100.05,92.39,0.41,0.41,,0.014,1.73,0.033,3.93,0.41,3.9,21.1,25.1,Tier 5: Adoption-Led
BHR,Bahrain,1.6,0.95,29653.57,82.32,2024,17.68,153.90,100.00,,0.92,,0.057,6.86,0.130,15.56,0.55,10.8,28.5,39.3,Tier 4: Strategic Impact
BGD,Bangladesh,173.6,104.14,2593.42,43.28,2024,56.72,111.28,44.50,5.05,10.47,20.27,6.248,749.79,14.163,1699.52,6.29,22.1,24.2,46.2,Tier 3: Moderate Impact
BRB,Barbados,0.3,0.17,26544.87,,,,114.58,69.68,,1.45,,0.010,1.22,0.023,2.77,0.61,12.7,21.0,33.8,Tier 4: Strategic Impact
BLR,Belarus,9.1,5.48,8317.63,,,,128.98,91.51,2.33,5.79,56.39,0.329,39.45,0.745,89.43,1.96,16.9,28.8,45.7,Tier 3: Moderate Impact
BEL,Belgium,11.9,7.12,56614.57,98.24,2024,1.76,103.20,94.63,2.25,3.14,,0.427,51.23,0.968,116.12,0.29,1.7,22.3,24.0,Tier 5: Adoption-Led
BLZ,Belize,0.4,0.25,7681.24,67.97,2024,32.03,67.18,70.19,4.90,3.29,54.23,0.015,1.80,0.034,4.08,2.12,18.1,19.4,37.5,Tier 4: Strategic Impact
BEN,Benin,14.5,8.68,1485.38,51.84,2024,48.16,116.04,32.39,1.72,1.16,63.16,0.521,62.48,1.180,141.62,10.99,20.8,21.9,42.8,Tier 4: Strategic Impact
BTN,Bhutan,0.8,0.47,3831.33,,,,95.63,90.02,3.58,2.76,115.02,0.028,3.42,0.065,7.75,4.26,22.1,24.9,47.0,Tier 3: Moderate Impact
BOL,Bolivia,12.4,7.45,4421.17,56.85,2024,43.15,101.57,77.30,2.77,5.10,37.27,0.447,53.63,1.013,121.55,3.69,19.1,25.4,44.5,Tier 4: Strategic Impact
BIH,Bosnia and Herzegovina,3.2,1.90,9358.79,77.46,2024,22.54,117.73,83.38,10.23,1.69,55.51,0.114,13.67,0.258,30.98,1.74,18.0,26.2,44.2,Tier 4: Strategic Impact
BWA,Botswana,2.5,1.51,7695.75,61.44,2024,38.56,179.03,57.90,0.36,2.82,9.84,0.091,10.89,0.206,24.69,2.12,15.2,28.6,43.8,Tier 4: Strategic Impact
BRA,Brazil,212.0,127.20,10310.55,86.38,2024,13.62,101.02,84.15,0.20,4.37,30.56,7.632,915.83,17.299,2075.89,1.58,12.1,27.0,39.2,Tier 4: Strategic Impact
