Rank,Country,ISO3,Population_M,Eligible_M,GX_Impact_Index,Tier,Need_Score,Readiness_Score,Treasury_GX_B,Treasury_USD_B,Individual_GX_B,Individual_USD_B,Grant_Impact_Multiple,Unbanked_Pct,Inflation_Pct,Remittance_Pct_GDP,Mobile_Per_100
1,Lebanon,LBN,5.8,3.48,71.4,Tier 2: Strong Impact,48.2,23.2,0.209,25.08,0.474,56.85,4.69,76.96,45.24,33.35,74.01
2,South Sudan,SSD,11.9,7.17,67.4,Tier 2: Strong Impact,55.7,11.6,0.430,51.60,0.975,116.95,,94.17,91.44,,46.62
3,"Micronesia, Fed. Sts.",FSM,0.1,0.07,66.5,Tier 2: Strong Impact,55.0,11.5,0.004,0.49,0.009,1.11,3.92,,,,19.99
4,Libya,LBY,7.4,4.43,63.3,Tier 2: Strong Impact,30.0,33.3,0.266,31.89,0.602,72.27,2.48,66.88,2.13,,192.97
5,Palestine,PSE,5.3,3.17,63.3,Tier 2: Strong Impact,39.2,24.1,0.190,22.85,0.432,51.79,6.30,66.36,53.67,18.18,76.69
6,Tajikistan,TJK,10.6,6.35,60.4,Tier 2: Strong Impact,39.5,20.9,0.381,45.75,0.864,103.71,12.17,45.48,,37.84,76.22
7,Marshall Islands,MHL,0.0,0.02,59.5,Tier 3: Moderate Impact,43.9,15.6,0.001,0.16,0.003,0.37,2.11,,,22.32,39.71
8,Nicaragua,NIC,6.9,4.15,59.4,Tier 3: Moderate Impact,35.7,23.7,0.249,29.88,0.564,67.72,5.73,76.53,4.62,26.18,105.84
9,El Salvador,SLV,6.3,3.80,59.3,Tier 3: Moderate Impact,29.4,29.9,0.228,27.38,0.517,62.06,2.92,56.60,0.85,24.48,179.71
10,Myanmar,MMR,54.5,32.70,59.0,Tier 3: Moderate Impact,31.9,27.2,1.962,235.44,4.447,533.66,12.01,52.21,,,121.03
11,Kyrgyz Republic,KGZ,7.2,4.33,55.1,Tier 3: Moderate Impact,27.5,27.5,0.260,31.20,0.589,70.72,6.74,27.74,5.00,26.58,108.59
12,Argentina,ARG,45.7,27.42,54.5,Tier 3: Moderate Impact,25.0,29.5,1.645,197.41,3.729,447.46,1.17,18.26,219.88,0.16,137.71
13,Montenegro,MNE,0.6,0.37,54.5,Tier 3: Moderate Impact,22.0,32.5,0.022,2.69,0.051,6.11,1.23,24.59,3.34,10.53,207.24
14,Morocco,MAR,38.1,22.85,54.5,Tier 3: Moderate Impact,22.9,31.6,1.371,164.51,3.107,372.89,3.93,55.61,0.99,8.05,148.16
15,"Gambia, The",GMB,2.8,1.66,53.8,Tier 3: Moderate Impact,30.7,23.1,0.099,11.92,0.225,27.03,18.73,61.84,11.56,21.61,117.12
16,Suriname,SUR,0.6,0.38,53.7,Tier 3: Moderate Impact,24.3,29.4,0.023,2.74,0.052,6.21,2.34,,16.23,4.23,157.25
17,Tunisia,TUN,12.3,7.37,53.1,Tier 3: Moderate Impact,26.1,27.0,0.442,53.04,1.002,120.22,3.90,62.16,7.21,5.96,132.65
18,Turkmenistan,TKM,7.5,4.50,52.7,Tier 3: Moderate Impact,27.1,25.6,0.270,32.38,0.612,73.39,2.38,,,,
19,Uzbekistan,UZB,36.4,21.82,52.3,Tier 3: Moderate Impact,24.3,27.9,1.309,157.08,2.967,356.06,5.16,40.34,9.63,13.80,106.88
20,"Somalia, Fed. Rep.",SOM,19.0,11.41,51.8,Tier 3: Moderate Impact,35.7,16.1,0.684,82.12,1.551,186.14,25.92,,,,53.96
21,"Iran, Islamic Rep.",IRN,91.6,54.94,51.0,Tier 3: Moderate Impact,18.3,32.7,3.296,395.57,7.472,896.63,3.14,8.94,32.46,,166.28
22,Colombia,COL,52.9,31.73,50.8,Tier 3: Moderate Impact,19.4,31.4,1.904,228.47,4.316,517.86,2.06,42.94,6.61,2.76,166.98
23,"Egypt, Arab Rep.",EGY,116.5,69.92,50.6,Tier 3: Moderate Impact,25.0,25.6,4.195,503.45,9.510,1141.14,4.89,56.89,28.27,4.93,92.83
24,Honduras,HND,10.8,6.50,50.6,Tier 3: Moderate Impact,29.7,20.9,0.390,46.77,0.883,106.01,4.76,57.56,4.61,26.10,74.41
25,Georgia,GEO,3.7,2.22,50.5,Tier 3: Moderate Impact,21.2,29.3,0.133,15.98,0.302,36.23,1.77,21.18,1.11,13.65,155.25
26,Cambodia,KHM,17.6,10.58,50.4,Tier 3: Moderate Impact,23.9,26.5,0.635,76.20,1.439,172.72,6.21,60.97,0.81,6.57,120.81
27,Guatemala,GTM,18.4,11.04,50.4,Tier 3: Moderate Impact,26.3,24.1,0.663,79.52,1.502,180.24,2.65,61.72,2.87,19.14,113.71
28,Jamaica,JAM,2.8,1.70,50.4,Tier 3: Moderate Impact,23.6,26.8,0.102,12.27,0.232,27.80,2.10,26.70,5.41,16.81,115.09
29,Nepal,NPL,29.7,17.79,50.4,Tier 3: Moderate Impact,26.4,24.0,1.067,128.09,2.420,290.34,11.28,40.01,4.69,26.22,117.76
30,Lao PDR,LAO,7.8,4.66,49.8,Tier 3: Moderate Impact,29.0,20.8,0.280,33.57,0.634,76.08,7.68,62.35,23.13,1.81,64.76
31,Moldova,MDA,2.4,1.44,49.7,Tier 3: Moderate Impact,23.2,26.4,0.086,10.38,0.196,23.52,2.15,44.46,4.68,12.04,129.55
32,Philippines,PHL,115.8,69.51,49.6,Tier 3: Moderate Impact,21.5,28.1,4.170,500.44,9.453,1134.34,4.10,49.82,3.21,8.95,117.28
33,"Venezuela, RB",VEN,28.4,17.04,49.6,Tier 3: Moderate Impact,26.5,23.1,1.023,122.71,2.318,278.15,3.87,12.68,,,70.22
34,Cabo Verde,CPV,0.5,0.31,49.4,Tier 3: Moderate Impact,25.1,24.2,0.019,2.27,0.043,5.14,3.14,,1.05,12.63,113.02
35,Senegal,SEN,18.5,11.10,49.3,Tier 3: Moderate Impact,23.5,25.8,0.666,79.93,1.510,181.17,9.20,23.54,0.80,10.64,123.91
36,Zimbabwe,ZWE,16.6,9.98,49.2,Tier 3: Moderate Impact,28.6,20.5,0.599,71.86,1.357,162.88,6.54,50.48,,9.20,91.63
37,Mongolia,MNG,3.5,2.11,49.1,Tier 3: Moderate Impact,20.5,28.6,0.127,15.23,0.288,34.51,2.42,1.72,6.20,2.24,141.08
38,Viet Nam,VNM,101.0,60.59,48.9,Tier 3: Moderate Impact,19.8,29.1,3.636,436.27,8.241,988.87,3.46,29.45,3.62,,130.99
39,Jordan,JOR,11.6,6.93,48.7,Tier 3: Moderate Impact,24.5,24.2,0.416,49.91,0.943,113.13,3.53,53.54,1.56,8.53,67.55
40,Tonga,TON,0.1,0.06,48.7,Tier 3: Moderate Impact,31.0,17.7,0.004,0.45,0.009,1.02,2.89,,3.23,42.61,61.73
41,Ukraine,UKR,37.9,22.72,47.8,Tier 3: Moderate Impact,18.7,29.1,1.363,163.56,3.089,370.73,3.03,12.42,6.50,8.26,133.38
42,Comoros,COM,0.9,0.52,47.6,Tier 3: Moderate Impact,27.8,19.8,0.031,3.74,0.071,8.49,9.82,54.54,5.05,23.03,109.86
43,Pakistan,PAK,251.3,150.76,47.3,Tier 3: Moderate Impact,26.7,20.6,9.046,1085.48,20.504,2460.43,11.04,72.70,12.63,7.89,76.54
44,Cote d'Ivoire,CIV,31.9,19.16,47.1,Tier 3: Moderate Impact,19.1,28.0,1.150,137.96,2.606,312.70,5.98,42.43,3.45,1.62,171.99
45,Bhutan,BTN,0.8,0.47,47.0,Tier 3: Moderate Impact,22.1,24.9,0.028,3.42,0.065,7.75,4.26,,2.76,3.58,95.63
46,Kosovo,XKX,1.6,0.96,46.7,Tier 3: Moderate Impact,33.5,13.2,0.057,6.89,0.130,15.61,2.32,35.84,,,34.54
