ISO3,Country,Population,Year
AFG,Afghanistan,42647492,2024
ALB,Albania,2377128,2024
DZA,Algeria,46814308,2024
ASM,American Samoa,46765,2024
AND,Andorra,81938,2024
AGO,Angola,37885849,2024
ATG,Antigua and Barbuda,93772,2024
ARG,Argentina,45696159,2024
ARM,Armenia,3033500,2024
ABW,Aruba,107995,2024
AUS,Australia,27196812,2024
AUT,Austria,9177982,2024
AZE,Azerbaijan,10202830,2024
BHS,"Bahamas, The",401283,2024
BHR,Bahrain,1588670,2024
BGD,Bangladesh,173562364,2024
BRB,Barbados,282467,2024
BLR,Belarus,9132629,2024
BEL,Belgium,11858610,2024
BLZ,Belize,417072,2024
BEN,Benin,14462724,2024
BMU,Bermuda,64636,2024
BTN,Bhutan,791524,2024
BOL,Bolivia,12413315,2024
BIH,Bosnia and Herzegovina,3164253,2024
BWA,Botswana,2521139,2024
BRA,Brazil,211998573,2024
VGB,British Virgin Islands,39471,2024
BRN,Brunei Darussalam,462721,2024
BGR,Bulgaria,6441421,2024
BFA,Burkina Faso,23548781,2024
BDI,Burundi,14047786,2024
CPV,Cabo Verde,524877,2024
KHM,Cambodia,17638801,2024
CMR,Cameroon,29123744,2024
CAN,Canada,41288599,2024
CYM,Cayman Islands,74457,2024
CAF,Central African Republic,5330690,2024
TCD,Chad,20299123,2024
CHI,Channel Islands,168126,2024
CHL,Chile,19764771,2024
CHN,China,1408975000,2024
COL,Colombia,52886363,2024
COM,Comoros,866628,2024
COD,"Congo, Dem. Rep.",109276265,2024
COG,"Congo, Rep.",6332961,2024
CRI,Costa Rica,5129910,2024
CIV,Cote d'Ivoire,31934230,2024
HRV,Croatia,3866200,2024
CUB,Cuba,10979783,2024
CUW,Curacao,155967,2024
CYP,Cyprus,1358282,2024
CZE,Czechia,10905028,2024
DNK,Denmark,5976992,2024
DJI,Djibouti,1168722,2024
DMA,Dominica,66205,2024
DOM,Dominican Republic,11427557,2024
ECU,Ecuador,18135478,2024
EGY,"Egypt, Arab Rep.",116538258,2024
SLV,El Salvador,6338193,2024
GNQ,Equatorial Guinea,1892516,2024
ERI,Eritrea,3535603,2024
EST,Estonia,1372341,2024
SWZ,Eswatini,1242822,2024
ETH,Ethiopia,132059767,2024
FRO,Faroe Islands,54681,2024
FJI,Fiji,928784,2024
FIN,Finland,5619911,2024
FRA,France,68551653,2024
PYF,French Polynesia,281807,2024
GAB,Gabon,2538952,2024
GMB,"Gambia, The",2759988,2024
GEO,Georgia,3699557,2024
DEU,Germany,83516593,2024
GHA,Ghana,34427414,2024
GIB,Gibraltar,39329,2024
GRC,Greece,10405134,2024
GRL,Greenland,56836,2024
GRD,Grenada,117207,2024
GUM,Guam,167777,2024
GTM,Guatemala,18406359,2024
GIN,Guinea,14754785,2024
GNB,Guinea-Bissau,2201352,2024
GUY,Guyana,831087,2024
HTI,Haiti,11772557,2024
XD,High income,1417841927,2024
HND,Honduras,10825703,2024
HKG,"Hong Kong SAR, China",7524100,2024
HUN,Hungary,9562065,2024
ISL,Iceland,386506,2024
IND,India,1450935791,2024
IDN,Indonesia,283487931,2024
IRN,"Iran, Islamic Rep.",91567738,2024
IRQ,Iraq,46042015,2024
IRL,Ireland,5395790,2024
IMN,Isle of Man,84160,2024
ISR,Israel,9974400,2024
ITA,Italy,58952704,2024
JAM,Jamaica,2839175,2024
JPN,Japan,123975371,2024
JOR,Jordan,11552876,2024
KAZ,Kazakhstan,20592571,2024
KEN,Kenya,56432944,2024
KIR,Kiribati,134518,2024
PRK,"Korea, Dem. People's Rep.",26498823,2024
KOR,"Korea, Rep.",51751065,2024
XKX,Kosovo,1594353,2024
KWT,Kuwait,4897263,2024
KGZ,Kyrgyz Republic,7221868,2024
LAO,Lao PDR,7769819,2024
LVA,Latvia,1866124,2024
LBN,Lebanon,5805962,2024
LSO,Lesotho,2337423,2024
LBR,Liberia,5612817,2024
LBY,Libya,7381023,2024
LIE,Liechtenstein,40450,2024
LTU,Lithuania,2888278,2024
XM,Low income,624608098,2024
XN,Lower middle income,3120980912,2024
LUX,Luxembourg,677012,2024
MAC,"Macao SAR, China",687000,2024
MDG,Madagascar,31964956,2024
MWI,Malawi,21655286,2024
MYS,Malaysia,35557673,2024
MDV,Maldives,527799,2024
MLI,Mali,24478595,2024
MLT,Malta,568847,2024
MHL,Marshall Islands,37548,2024
MRT,Mauritania,5169395,2024
MUS,Mauritius,1245779,2024
MEX,Mexico,130861007,2024
FSM,"Micronesia, Fed. Sts.",113160,2024
MDA,Moldova,2402306,2024
MCO,Monaco,38631,2024
MNG,Mongolia,3524788,2024
MNE,Montenegro,623525,2024
MAR,Morocco,38081173,2024
MOZ,Mozambique,34631766,2024
MMR,Myanmar,54500091,2024
NAM,Namibia,3030131,2024
NRU,Nauru,11947,2024
NPL,Nepal,29651054,2024
NLD,Netherlands,17993485,2024
NCL,New Caledonia,292639,2024
NZL,New Zealand,5287500,2024
NIC,Nicaragua,6916140,2024
NER,Niger,27032412,2024
NGA,Nigeria,232679478,2024
MKD,North Macedonia,1824359,2024
MNP,Northern Mariana Islands,44278,2024
NOR,Norway,5572279,2024
OMN,Oman,5281538,2024
PAK,Pakistan,251269164,2024
PLW,Palau,17695,2024
PAN,Panama,4515577,2024
PNG,Papua New Guinea,10576502,2024
PRY,Paraguay,6929153,2024
PER,Peru,34217848,2024
PHL,Philippines,115843670,2024
POL,Poland,36559233,2024
PRT,Portugal,10694681,2024
PRI,Puerto Rico (US),3203295,2024
QAT,Qatar,2857822,2024
ROU,Romania,19051804,2024
RUS,Russian Federation,143533851,2024
RWA,Rwanda,14256567,2024
WSM,Samoa,218019,2024
SMR,San Marino,33977,2024
STP,Sao Tome and Principe,235536,2024
SAU,Saudi Arabia,35300280,2024
SEN,Senegal,18501984,2024
SRB,Serbia,6586476,2024
SYC,Seychelles,121354,2024
SLE,Sierra Leone,8642022,2024
SGP,Singapore,6036860,2024
SXM,Sint Maarten (Dutch part),43350,2024
SVK,Slovak Republic,5422069,2024
SVN,Slovenia,2127400,2024
SLB,Solomon Islands,819198,2024
SOM,"Somalia, Fed. Rep.",19009151,2024
ZAF,South Africa,64007187,2024
SSD,South Sudan,11943408,2024
ESP,Spain,48848840,2024
LKA,Sri Lanka,21916000,2024
KNA,St. Kitts and Nevis,46843,2024
LCA,St. Lucia,179744,2024
MAF,St. Martin (French part),26129,2024
VCT,St. Vincent and the Grenadines,100616,2024
SDN,Sudan,50448963,2024
SUR,Suriname,634431,2024
SWE,Sweden,10569709,2024
CHE,Switzerland,9005582,2024
SYR,Syrian Arab Republic,24672760,2024
TJK,Tajikistan,10590927,2024
TZA,Tanzania,68560157,2024
THA,Thailand,71668011,2024
TLS,Timor-Leste,1400638,2024
TGO,Togo,9515236,2024
TON,Tonga,104175,2024
TTO,Trinidad and Tobago,1368333,2024
TUN,Tunisia,12277109,2024
TUR,Turkiye,85518661,2024
TKM,Turkmenistan,7494498,2024
TCA,Turks and Caicos Islands,46535,2024
TUV,Tuvalu,9646,2024
UGA,Uganda,50015092,2024
UKR,Ukraine,37860221,2024
ARE,United Arab Emirates,10986400,2024
GBR,United Kingdom,69226000,2024
USA,United States,340110988,2024
XT,Upper middle income,2817912698,2024
URY,Uruguay,3386588,2024
UZB,Uzbekistan,36361859,2024
VUT,Vanuatu,327777,2024
VEN,"Venezuela, RB",28405543,2024
VNM,Viet Nam,100987686,2024
VIR,Virgin Islands (U.S.),104377,2024
PSE,West Bank and Gaza,5289152,2024
YEM,"Yemen, Rep.",40583164,2024
ZMB,Zambia,21314956,2024
ZWE,Zimbabwe,16634373,2024
